City,Season,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³),NH₃ (µg/m³),Temperature (°C),Humidity (%),Wind Speed (km/h),Traffic Density (veh/hr),Industrial Activity (0-100),Green Cover (%),Population Density (per km²),Waste Management Score (0-10),AQI,Outlier
Hyderabad,PostMonsoon,62.2,101.6,25.6,18.3,1.16,36.0,18.2,27.5,40.3,10.3,7285,55.7,27.0,6815,7.1,102.8,No
Nagpur,Winter,84.2,182.0,38.5,9.6,2.31,46.0,30.3,21.6,70.2,11.9,3003,36.7,23.8,5167,5.2,189.7,No
Kolkata,Winter,137.2,228.3,51.8,34.3,2.78,29.6,26.1,12.5,74.8,5.5,4947,72.4,12.4,26614,8.1,243.0,No
Coimbatore,Winter,58.5,110.7,61.3,34.5,2.46,40.5,31.6,21.8,72.4,9.4,2181,49.6,28.6,4961,5.9,122.4,No
Mumbai,Winter,112.0,198.3,45.3,23.2,1.97,21.5,32.2,11.9,63.9,9.6,4624,30.3,22.4,23729,3.5,190.6,No
Patna,Winter,180.4,285.8,59.3,22.9,3.7,35.5,6.6,14.1,73.0,6.3,4060,41.1,3.9,10659,6.6,302.7,No
Agra,Monsoon,62.6,111.6,27.9,10.6,1.77,64.2,1.0,33.1,83.1,17.3,4885,59.3,6.7,8321,7.8,127.2,No
Visakhapatnam,Monsoon,44.2,62.1,49.5,14.4,0.23,56.8,9.2,30.2,86.3,30.6,3133,50.6,27.3,8053,5.7,72.7,No
Chennai,Winter,84.3,172.2,34.5,32.7,2.54,45.1,28.9,19.1,74.9,8.0,4411,46.4,27.0,9947,8.0,176.5,No
Bhopal,PostMonsoon,49.2,103.9,13.6,8.3,2.93,16.2,12.5,20.8,58.2,14.7,3545,61.6,20.9,6911,5.0,109.7,No
Chennai,Summer,43.9,93.3,27.9,9.2,1.17,53.8,21.6,35.3,36.7,17.9,6106,35.6,27.8,8557,7.0,108.2,No
Visakhapatnam,Summer,67.4,72.4,39.6,11.2,1.31,60.7,10.8,38.3,41.6,15.4,3121,36.4,33.8,7916,7.5,110.8,No
Faridabad,Monsoon,96.9,143.5,22.2,9.5,1.68,41.6,12.2,25.9,80.9,19.6,5973,86.7,6.0,11674,3.9,172.2,No
Ghaziabad,Winter,470.7,684.3,238.2,206.4,13.23,350.0,178.0,45.6,6.1,0.5,7761,99.6,0.9,13048,0.7,500.0,Yes
Delhi,PostMonsoon,390.7,747.3,155.5,196.2,11.37,275.5,145.3,48.6,9.0,0.8,8707,98.5,1.9,8753,1.3,500.0,Yes
Rajkot,Winter,98.5,147.6,40.8,18.3,3.54,48.9,34.3,19.5,75.5,11.7,2122,58.0,22.0,6112,7.5,164.6,No
Delhi,Winter,171.3,296.6,82.2,8.6,2.8,28.3,25.0,18.1,65.1,11.5,5774,65.3,6.5,10472,6.6,304.6,No
Meerut,Summer,121.7,199.4,43.9,21.3,0.29,47.1,14.7,38.6,32.0,22.8,4402,36.3,6.3,8283,4.0,226.7,No
Coimbatore,Monsoon,35.1,49.6,17.2,13.1,1.21,25.3,7.4,26.8,84.5,34.2,2508,29.8,32.0,4489,7.8,66.2,No
Jaipur,Summer,73.8,91.4,46.2,16.1,2.8,42.3,1.0,42.9,42.7,17.3,5302,56.6,19.6,9302,7.8,132.1,No
Pune,Monsoon,52.6,62.1,24.0,20.0,1.38,34.3,9.5,27.9,74.3,22.6,3987,52.6,25.1,8112,3.7,96.2,No
Meerut,PostMonsoon,107.6,207.6,24.0,28.8,2.39,23.4,25.1,26.1,44.0,8.6,4416,52.6,10.7,5733,7.3,227.0,No
Surat,PostMonsoon,85.6,158.5,39.0,13.9,1.48,39.6,25.3,20.2,58.8,13.7,4546,65.8,14.9,8479,6.2,179.8,No
Meerut,Summer,92.4,97.4,53.2,10.3,0.97,42.5,19.8,40.4,45.5,14.4,3282,55.2,6.6,6690,6.9,160.1,No
Rajkot,Monsoon,39.4,96.2,12.1,1.0,1.03,33.3,15.4,31.7,92.8,21.9,3958,50.0,17.4,6317,7.3,100.4,No
Allahabad,Summer,108.2,136.6,35.9,10.6,1.75,31.3,24.7,36.0,45.8,20.5,3388,43.3,11.3,8696,3.5,201.2,No
Nashik,Monsoon,46.0,51.0,8.7,26.6,0.86,43.8,27.9,31.6,89.6,22.9,1750,33.3,26.6,4896,7.1,80.5,No
Agra,PostMonsoon,111.7,152.6,31.7,24.2,0.75,32.0,30.0,25.5,53.9,12.8,3932,54.0,10.9,7987,6.7,182.1,No
Bhopal,Monsoon,42.2,60.9,20.6,9.1,0.58,11.5,9.0,30.0,74.6,26.5,3621,58.1,31.1,5395,7.3,85.8,No
Bhopal,Summer,444.8,553.0,160.5,239.5,9.11,318.2,144.9,46.6,2.1,0.6,7669,97.7,1.7,6254,1.3,500.0,Yes
Nashik,Summer,42.6,84.4,21.1,7.0,1.48,47.1,34.7,34.1,34.6,21.1,2754,48.9,28.8,4513,8.2,89.4,No
Mumbai,Summer,56.0,112.6,49.7,25.3,1.54,56.9,16.9,40.5,27.2,14.2,5472,58.9,23.0,15176,7.2,124.8,No
Jaipur,Monsoon,47.6,139.8,42.1,18.3,1.06,36.0,13.3,27.6,76.0,24.7,5052,51.7,17.5,7148,5.9,153.1,No
Thane,Monsoon,17.6,58.1,19.9,6.1,0.1,12.3,3.9,26.4,76.4,33.3,4896,53.6,18.2,16286,7.9,72.4,No
Chennai,Winter,79.4,144.2,52.0,16.5,2.08,26.1,16.0,19.5,66.4,5.4,3916,50.8,18.0,9358,6.3,144.1,No
Allahabad,Winter,373.6,535.7,219.6,171.4,13.28,345.2,182.4,45.1,6.8,0.6,8738,90.6,1.7,7250,1.0,500.0,Yes
Mumbai,PostMonsoon,81.1,123.9,44.7,4.7,1.54,55.7,15.9,28.0,40.0,17.7,5347,51.2,8.4,16716,8.3,137.8,No
Delhi,Winter,144.5,338.0,46.4,25.3,3.21,36.3,30.3,14.1,79.0,8.4,7228,67.2,7.8,12180,6.8,359.0,No
Kanpur,Summer,96.3,209.5,12.4,11.7,2.11,36.9,3.5,36.7,22.0,24.8,4708,81.3,6.7,8601,4.7,226.6,No
Agra,Monsoon,47.4,108.4,31.8,17.0,0.46,43.7,15.6,30.5,74.7,16.1,3366,58.4,6.4,8019,5.6,127.4,No
Kanpur,Summer,78.0,91.7,35.9,16.3,1.36,43.7,43.5,34.2,42.8,24.8,4290,84.5,10.8,9836,7.7,126.9,No
Agra,Monsoon,77.4,119.3,13.0,12.0,1.28,58.2,9.1,28.0,76.6,18.3,2769,42.2,8.1,9668,6.0,144.5,No
Rajkot,PostMonsoon,93.1,132.9,30.2,16.0,2.92,23.6,7.9,20.7,44.1,18.7,3683,41.8,20.3,6132,6.4,157.8,No
Rajkot,Monsoon,50.6,134.6,2.0,11.3,0.1,24.3,1.0,31.9,91.6,21.0,3600,52.5,16.3,5271,4.4,161.0,No
Thane,Summer,32.4,92.3,28.7,10.9,2.28,59.7,16.0,34.5,26.3,10.3,3385,48.1,20.9,13650,4.1,92.9,No
Visakhapatnam,PostMonsoon,83.7,102.0,43.6,22.3,2.01,30.8,23.0,25.5,56.9,14.0,3735,51.7,25.9,7290,3.7,156.9,No
Nagpur,Summer,75.5,95.3,46.6,26.3,2.14,38.6,1.0,38.5,40.0,10.2,4014,50.2,24.2,5802,5.7,130.6,No
Varanasi,Monsoon,74.4,99.9,29.8,17.3,0.85,25.7,18.1,30.0,91.7,34.1,2667,47.1,2.7,7383,6.9,136.5,No
Ahmedabad,Summer,82.5,127.6,46.5,18.1,0.95,35.4,19.5,39.3,41.9,15.3,2917,86.3,20.2,10004,4.8,155.4,No
Meerut,Winter,141.8,187.6,57.2,30.1,2.07,49.0,16.4,12.3,56.5,8.7,2777,68.4,8.9,7731,5.5,247.8,No
Chennai,PostMonsoon,42.0,103.8,43.7,31.7,2.05,17.2,10.4,23.5,49.8,12.1,6378,43.7,28.1,8519,8.3,115.3,No
Amritsar,Winter,126.2,175.7,56.7,25.9,3.04,49.5,30.5,18.1,65.4,9.8,2847,40.4,14.2,7365,7.1,211.5,No
Vadodara,PostMonsoon,76.5,133.2,22.3,13.7,1.26,47.9,26.0,23.8,62.9,18.1,3589,67.2,18.2,7161,6.5,144.9,No
Meerut,Winter,137.7,262.6,47.4,13.2,3.11,25.0,29.2,20.3,69.1,5.3,4105,61.7,18.8,8211,5.7,275.7,No
Vadodara,Winter,94.1,177.6,63.4,24.8,2.53,22.3,28.6,12.6,73.9,9.1,3696,61.5,11.8,7885,3.6,195.8,No
Indore,Winter,113.6,195.5,61.2,31.1,2.26,59.6,26.9,17.5,74.4,8.0,4078,38.9,14.6,8156,7.9,209.8,No
Bhopal,PostMonsoon,58.9,91.0,47.0,18.2,0.69,37.4,24.1,22.1,54.5,14.7,3409,47.9,29.9,5444,6.6,98.4,No
Pune,PostMonsoon,75.1,83.8,40.2,21.2,2.82,25.8,11.8,32.0,58.8,15.7,3774,44.7,21.4,7549,7.3,127.0,No
Nashik,Winter,78.1,123.5,30.9,20.9,2.06,36.4,33.2,11.7,71.0,4.4,2566,30.4,23.6,5098,8.1,122.4,No
Hyderabad,Winter,85.6,130.1,71.1,42.1,2.85,37.7,34.7,10.9,70.1,5.3,4009,37.3,31.3,10244,4.4,141.5,No
Nagpur,Winter,114.3,159.7,51.9,31.3,3.56,43.6,30.5,16.7,55.4,4.6,4116,60.2,20.5,7648,7.7,200.2,No
Surat,Monsoon,78.9,90.6,15.1,3.7,1.82,28.1,14.7,29.6,70.8,32.6,5625,42.3,14.4,10433,4.6,161.9,No
Chennai,Monsoon,28.4,75.2,34.7,7.2,2.35,28.6,6.3,34.9,76.2,25.1,3768,44.5,27.4,10945,5.9,70.3,No
Allahabad,Winter,110.1,243.8,28.0,30.5,1.64,13.7,26.8,20.3,78.6,6.7,5231,41.4,12.5,7633,4.5,245.4,No
Hyderabad,Monsoon,26.1,74.5,2.0,6.1,1.64,24.2,17.4,33.4,75.7,32.3,4279,51.8,23.6,8647,6.1,79.0,No
Kolkata,Summer,56.3,122.3,28.7,12.8,1.2,31.8,37.0,40.5,31.6,19.7,7348,85.9,6.6,22548,5.5,150.5,No
Bhopal,Summer,462.2,521.9,230.6,237.0,13.13,264.8,174.4,48.0,8.2,0.4,8209,96.4,0.8,5936,0.9,500.0,Yes
Rajkot,Winter,86.9,172.8,57.7,28.8,1.41,47.1,25.1,16.1,69.6,6.9,3274,28.3,15.4,6546,4.3,180.4,No
Agra,PostMonsoon,128.0,228.0,25.7,14.6,1.94,29.0,26.6,31.0,62.0,20.0,4358,67.6,7.9,6921,8.4,244.3,No
Coimbatore,Winter,70.4,113.0,49.0,23.4,1.79,13.8,33.4,19.0,66.2,6.5,4270,15.7,31.2,5171,6.8,125.2,No
Jaipur,Monsoon,60.4,118.2,31.1,12.2,0.34,43.8,22.6,32.4,77.6,21.9,3411,47.2,13.4,7131,6.9,126.4,No
Agra,Monsoon,89.0,94.0,22.9,22.5,0.68,61.5,14.3,33.4,90.0,23.2,4702,52.1,5.3,7972,6.1,165.8,No
Hyderabad,Winter,62.0,157.3,55.5,26.2,2.68,41.3,36.2,16.4,56.3,7.7,4460,51.3,25.2,7402,5.9,172.6,No
Nagpur,Winter,95.3,161.1,51.7,24.8,2.17,50.3,20.3,15.8,68.8,9.1,3306,51.8,18.6,6032,6.4,152.3,No
Delhi,Winter,154.5,276.2,36.7,17.7,3.44,39.8,35.8,21.4,64.0,10.2,6567,70.9,11.2,12939,5.6,275.0,No
Hyderabad,Winter,100.2,107.9,51.7,27.3,2.28,19.0,39.8,21.9,64.7,4.4,5303,53.3,32.1,7976,7.2,164.3,No
Meerut,Monsoon,73.8,101.6,24.5,9.0,1.89,24.9,21.7,30.9,89.8,34.8,3438,59.5,10.5,7225,7.7,127.6,No
Chennai,Winter,86.6,159.1,50.3,26.4,2.17,37.2,33.2,16.5,62.2,5.0,5107,61.6,30.4,9532,3.6,170.6,No
Indore,PostMonsoon,62.0,112.5,53.6,19.0,1.47,41.1,15.5,24.8,59.6,19.6,5080,52.4,13.9,5045,5.3,122.2,No
Varanasi,PostMonsoon,127.6,207.1,30.5,12.9,2.2,38.1,18.8,20.0,45.6,12.1,3954,45.2,14.0,7414,5.2,213.0,No
Thane,Winter,88.0,172.7,43.2,15.8,2.72,52.9,34.8,18.2,55.1,11.4,6621,47.3,16.3,14360,8.2,197.1,No
Allahabad,Summer,83.1,140.3,7.4,22.3,3.25,48.6,9.6,41.5,46.1,12.9,3255,60.3,3.9,7149,6.4,148.1,No
Hyderabad,Winter,81.2,97.8,42.6,22.0,1.47,30.5,39.2,18.8,66.3,9.5,3856,64.8,22.3,7893,7.5,140.2,No
Thane,PostMonsoon,85.8,116.3,53.2,21.4,1.07,52.1,34.4,24.1,42.7,8.8,5794,57.1,30.2,15123,5.6,168.5,No
Jaipur,Monsoon,48.7,80.6,31.2,15.6,1.59,38.6,1.0,32.8,72.3,25.4,2895,59.1,15.4,7552,4.5,91.4,No
Surat,PostMonsoon,92.6,112.8,31.7,14.6,1.26,13.4,1.0,23.2,40.7,15.3,5832,49.0,11.7,9422,7.8,171.1,No
Indore,Winter,97.8,153.2,72.8,26.9,2.82,22.0,33.8,20.8,57.8,5.4,5280,42.7,17.2,5325,4.9,184.8,No
Amritsar,Summer,100.4,126.4,34.9,24.3,1.45,29.1,35.8,42.8,21.5,22.8,3204,33.4,14.9,6033,6.2,164.3,No
Hyderabad,Monsoon,52.9,79.6,27.7,12.3,1.08,48.2,14.0,31.9,85.2,25.8,4344,25.8,25.9,8001,4.3,79.5,No
Nashik,Monsoon,44.3,49.3,19.3,16.3,1.44,34.9,22.1,25.9,85.2,16.8,2081,53.2,28.9,4264,7.8,93.0,No
Kolkata,Summer,83.1,156.3,5.5,28.5,1.57,25.5,11.4,44.7,30.5,16.8,3391,64.5,19.8,22297,6.4,168.6,No
Patna,Monsoon,80.6,168.3,16.2,17.8,1.16,14.1,3.9,28.3,88.2,28.4,3756,51.3,8.3,10075,4.8,173.9,No
Nagpur,Monsoon,61.1,83.7,27.8,9.3,0.72,39.1,9.9,34.4,73.5,27.9,5042,57.6,19.5,6680,8.0,111.3,No
Agra,Monsoon,83.9,128.1,21.1,7.3,1.42,36.2,16.4,31.8,83.1,30.6,4346,53.9,6.6,7482,5.6,151.8,No
Chennai,Monsoon,36.1,68.1,5.8,12.3,1.46,29.1,13.5,34.4,74.6,34.6,4159,50.2,25.6,8442,5.6,68.7,No
Bhopal,Monsoon,44.8,82.5,36.9,16.4,0.99,24.9,13.3,33.6,71.2,18.0,4132,42.0,12.6,5425,4.3,81.9,No
Nagpur,Summer,58.0,78.2,27.3,15.5,2.41,41.5,27.3,43.8,20.5,18.4,4777,54.5,25.8,5852,7.9,101.6,No
Faridabad,Monsoon,104.6,152.8,4.2,18.6,1.47,41.3,9.7,26.7,94.8,26.3,4831,58.7,5.3,10432,5.6,178.8,No
Jaipur,Monsoon,56.6,125.5,34.6,12.3,1.1,46.0,8.6,28.9,77.2,20.4,3061,43.5,16.1,7044,4.8,130.9,No
Nashik,Summer,47.1,90.4,40.3,19.6,0.39,49.6,22.2,39.8,39.7,10.1,2642,30.1,18.2,4999,7.3,91.1,No
Ghaziabad,Winter,123.6,245.0,38.1,30.1,2.95,38.9,36.3,21.9,57.7,5.9,5046,72.1,2.7,9805,7.8,266.1,No
Ahmedabad,Summer,47.8,118.0,33.5,22.0,1.91,46.0,26.8,36.7,31.4,16.3,5011,95.3,20.3,6132,8.1,133.3,No
Mumbai,Monsoon,411.8,676.8,167.7,182.8,13.68,342.1,130.9,47.5,3.7,0.1,7988,91.4,2.3,19994,1.0,500.0,Yes
Kolkata,PostMonsoon,370.0,656.9,228.4,234.3,13.24,335.9,189.1,48.4,3.7,0.5,8259,97.2,2.6,23526,1.2,500.0,Yes
Nashik,PostMonsoon,80.9,104.6,37.9,25.2,2.46,25.3,17.8,30.4,58.1,12.8,2285,37.8,20.2,4500,7.2,132.0,No
Pune,Summer,60.1,96.8,23.6,14.0,1.64,35.2,6.9,37.6,21.6,17.7,5962,35.7,22.1,7707,4.5,104.8,No
Rajkot,PostMonsoon,64.4,142.9,31.8,9.0,1.48,53.7,17.7,29.7,46.3,11.0,3706,46.5,17.6,6641,7.7,149.7,No
Indore,Monsoon,59.0,83.0,33.5,6.6,0.63,30.1,10.9,31.6,84.2,24.4,4580,76.0,17.9,7216,8.0,105.5,No
Agra,Monsoon,44.5,167.9,2.0,12.2,1.45,27.8,1.0,26.5,83.8,30.1,3930,46.9,8.1,7261,6.8,177.5,No
Ahmedabad,Summer,65.7,148.4,47.9,22.0,0.45,58.0,4.0,33.1,49.8,11.9,5808,82.1,7.7,7021,4.8,155.7,No
Nashik,Summer,52.0,117.5,64.3,16.0,2.2,47.8,22.7,32.2,42.0,24.0,2815,36.0,32.8,4712,6.9,117.9,No
Nagpur,Summer,483.4,640.0,165.4,253.1,14.4,225.4,185.4,49.7,9.5,0.7,8319,93.6,0.5,5768,0.6,500.0,Yes
Allahabad,Summer,83.9,135.3,28.9,15.3,1.28,34.9,12.7,44.3,31.0,23.7,4100,60.5,15.1,9543,6.7,161.0,No
Pune,Winter,384.2,681.8,160.7,176.8,9.03,319.5,125.0,48.4,4.9,0.6,8946,91.1,1.3,7133,1.3,500.0,Yes
Surat,PostMonsoon,86.6,100.2,47.6,14.1,1.81,33.9,11.8,27.7,61.3,15.3,3803,62.6,17.7,5991,3.6,165.1,No
